A,R,S,H,B,W,F
16902,0,51006,0,13728,0,1998
6508,996,14077,4204,9932,20,1720
0,0,0,0,0,0,0
8908,0,19375,1839,10326,0,2492
10580,897,15737,2288,2253,24,2642
6064,0,45897,6955,8124,0,16
20035,0,91575,0,1895,0,0
14127,490,40089,6476,5931,49,4823
5668,195,10592,2902,5838,56,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
18822,1729,23907,6878,15878,395,1331
24828,0,203087,127,0,0,0
2570,185,11814,2232,0,0,291
5697,1180,16564,2357,9246,103,0
6726,0,18140,2207,478,0,554
8208,1055,44247,0,13843,41,675
4527,319,20236,0,11787,76,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3743,413,7484,692,1537,52,105
26459,2066,20064,4065,0,273,3065
10214,3500,47033,4569,0,379,1111
6634,1098,8847,2121,2239,67,2312
9834,910,40846,5516,19618,0,2411
14676,2751,9574,1066,4057,399,3288
13221,1324,0,0,0,0,0
8384,1252,0,0,0,260,81
0,0,0,0,0,0,0
3657,771,23801,2221,0,62,89
5439,574,0,0,0,66,0
8963,500,27426,2845,9695,33,1683
15193,1158,21513,1969,5593,202,1719
9633,995,18269,1024,1448,169,240
4734,130,10030,0,6722,29,1177
14141,1868,6536,0,2802,0,2248
16638,0,71070,3767,43237,0,4466
9925,663,71557,8350,15291,44,8700
0,0,0,0,0,0,0
8024,825,0,0,1151,57,0
3662,302,22380,6561,12197,52,2397
13555,1313,0,0,0,26,0
0,0,0,0,0,0,0
7901,0,0,0,0,0,0
6230,288,31810,6276,1072,53,2954
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9999,1724,76892,9683,21470,283,0
13754,0,22837,2000,0,0,208
4268,0,11836,115,0,0,0
19216,0,69681,12805,42643,0,15541
1345,0,6862,325,2031,0,532
5299,301,26268,754,0,58,0
11974,106,83276,18632,29126,24,6305
7529,40,14844,2943,1203,8,0
12655,1824,37775,6869,4278,0,1577
8552,1103,25606,0,0,192,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
14407,2460,45726,8880,22713,451,0
10027,0,47016,8249,8101,0,2027
0,0,0,0,0,0,0
6991,365,51683,6312,26229,3,5407
17117,0,44849,9436,5934,0,2575
13594,1269,45938,10250,13395,91,3067
18525,2143,13596,683,3332,402,580
0,0,0,0,0,0,0
8288,1522,42550,0,0,0,0
15178,2723,78430,12895,0,213,10425
10966,617,0,0,1846,170,0
3527,41,27761,4134,8973,2,2561
7054,835,11046,857,1924,137,661
25092,3451,48858,16691,2784,574,14218
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2945,240,0,0,0,25,0
10821,670,66846,17239,33544,97,487
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11890,0,23260,97,10568,0,0
0,0,0,0,0,0,0
15323,1007,46370,7822,21795,172,8248
0,0,0,0,0,0,0
12484,2530,72804,0,18169,706,0
15346,1599,111286,31878,10490,347,13561
3879,371,9283,1158,2238,131,860
0,0,0,0,0,0,0
0,0,0,0,0,0,0
16187,0,104009,6765,0,0,0
33740,772,60430,9153,0,10,1384
4125,26,17117,991,4415,1,666
8362,238,37315,2714,15418,0,2165
18001,2142,63255,8262,29538,169,4830
11318,1149,2841,420,1040,244,1483
16815,531,45212,12685,22102,92,0
13491,505,9388,384,3859,0,957
0,0,0,0,0,0,0
8355,1673,48823,2867,20034,121,0
20856,2926,72864,4925,0,358,711
2415,129,2769,147,2049,35,0
15809,0,136786,4317,15829,0,1185
21961,3893,0,111,0,353,0
11875,1350,78259,0,32439,262,3392
5223,698,0,0,0,0,353
21598,1823,123533,11884,32070,0,7192
3556,415,8452,0,2960,172,372
10193,362,49933,1979,0,43,126
22596,1548,110927,5824,5641,0,141
0,0,0,0,0,0,0
5350,893,23102,3966,3018,144,596
11026,2870,0,0,0,631,0
11299,1262,11840,801,1526,42,1217
401,84,1244,269,0,12,165
16960,1376,66749,16,23877,0,0
7361,666,0,0,0,47,0
16502,532,70953,4561,2545,93,1947
0,0,0,0,0,0,0
6460,1394,8151,903,0,109,552
5,0,17,2,7,0,1
4554,0,8123,964,0,0,0
0,0,0,0,0,0,0
13640,0,29609,1153,0,0,74
565,70,0,0,0,9,0
27500,3242,0,0,0,260,0
4622,387,0,0,0,72,57
16698,1953,56672,0,36714,410,5292
12791,1844,67471,0,10808,94,1927
0,0,0,0,0,0,0
0,0,0,0,0,0,0
13862,0,79715,21265,76331,0,19606
5417,554,36171,0,12146,125,581
4974,169,19384,3139,0,9,247
0,0,0,0,0,0,0
16901,1302,73155,19595,42518,0,16877
19363,1851,77133,0,32550,315,3216
2247,0,2550,136,1326,0,245
0,0,0,0,0,0,0
15294,501,55239,3378,0,23,643
4985,541,22107,836,7549,97,4211
14580,1242,6596,754,822,0,558
11054,0,52333,8332,6751,15,1305
634,56,3172,0,1009,2,45
13300,1225,30050,0,1777,207,0
808,0,6005,0,0,0,0
15190,0,73614,4211,43708,0,1415
4927,378,0,0,0,8,0
7328,1071,0,0,0,101,0
6930,76,48417,2729,23927,14,3485
7838,1117,29493,2045,12857,213,5539
25354,3835,108405,2098,5820,911,5733
0,0,0,0,0,0,0
0,0,0,0,0,0,0
370,0,2525,246,1136,0,202
10124,1059,0,1196,2286,228,1224
10419,1176,1434,351,186,73,1196
8871,1226,1133,138,472,0,2217
0,0,0,0,0,0,0
13537,2344,49845,6402,4401,362,1971
2231,7,14811,615,8695,0,299
0,0,0,0,0,0,0
12060,0,44661,6496,6266,0,0
9767,0,85894,3477,37145,0,8870
6809,1017,32230,3055,8618,110,2747
0,0,0,0,0,0,0
0,0,0,0,0,0,0
27417,2930,179628,12676,61152,67,30386
0,0,0,0,0,0,0
10911,477,57558,9103,0,25,0
4897,510,11255,501,2448,138,567
0,0,0,0,0,0,0
3928,458,0,0,0,10,584
13174,1071,32777,6471,2035,0,5939
35313,1771,90634,14093,2104,119,6349
6360,670,0,333,0,160,430
1933,17,0,0,0,5,0
0,0,0,0,0,0,0
5977,1071,2622,572,0,4,1538
0,0,0,0,0,0,0
0,0,0,0,0,0,0
19726,0,0,0,0,0,0
9621,878,13052,2018,5120,0,3855
10583,671,0,0,0,23,0
9563,1579,48648,6793,8120,23,4266
12204,443,59313,5076,23754,9,6235
19794,1687,121099,7303,61779,236,1221
5833,883,0,0,0,317,42
8877,1545,21297,2563,643,89,1838
10628,1483,34104,840,16225,539,2953
3991,622,11492,1219,2354,0,543
0,0,0,0,0,0,0
8336,0,18573,0,4161,9,0
4959,485,17359,750,3610,111,325
5213,616,35136,337,0,102,360
21291,0,41667,2521,3303,0,1645
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
14512,579,20702,1693,12500,8,3804
7947,1396,10407,1414,2845,322,425
4592,0,4583,546,2703,0,67
7655,523,27916,0,5956,138,0
18423,0,64188,9532,9863,0,0
5443,572,0,0,0,39,0
17999,791,43616,11417,7169,159,6006
4435,448,31726,4386,9426,118,4320
11465,1615,95961,11909,8205,188,12314
5782,0,8924,1048,1104,0,560
3499,14,0,516,0,2,0
6788,1588,54126,4190,4645,49,0
10712,147,60634,2287,39762,37,5269
4686,333,32142,7193,4440,15,2340
1347,99,636,78,82,7,36
5020,885,25064,0,0,78,0
11489,1350,49229,2197,6691,173,0
11922,326,50505,0,13268,46,210
12966,0,34402,0,12608,0,1524
11886,1187,17583,807,5641,145,2558
4627,379,12796,206,2800,32,1047
0,0,0,0,0,0,0
10844,291,34176,5444,20482,31,276
0,0,0,0,0,0,0
2418,0,0,0,0,0,0
7788,642,54872,3113,0,166,1278
1950,342,10323,2577,0,0,0
6691,650,0,0,1529,123,0
11941,24,0,0,0,5,0
24470,2478,96995,17411,13956,97,8898
4790,1115,30888,2387,613,252,604
7180,114,0,0,0,19,0
14748,1553,47444,9822,17750,412,716
7865,799,37868,1827,16502,0,3639
0,0,0,0,0,0,0
5416,0,0,0,0,0,0
0,0,0,0,0,0,0
1121,131,4097,401,1294,16,483
3304,110,9729,1675,1551,32,58
3267,315,12497,0,1640,0,0
19754,1347,16538,2565,7694,52,2417
2161,188,11809,1571,0,12,3
6274,575,15148,3246,3317,78,1080
7631,551,29476,1933,4504,149,1510
4741,0,26879,6864,18688,0,0
0,0,0,0,0,0,0
3790,203,7530,469,4163,40,417
0,0,0,0,0,0,0
8733,1770,29729,4179,5354,229,1539
10584,592,21930,2875,10389,118,1363
20670,2910,170371,19245,31893,814,16012
4432,782,9980,760,3671,163,655
10922,474,65738,13577,20607,55,11880
7760,675,0,0,0,84,89
11182,2120,0,0,3703,0,0
17225,1385,50850,310,34255,225,3049
18887,0,83242,0,16805,0,419
3983,102,22854,4728,7293,15,2472
0,0,0,0,0,0,0
1099,99,8101,639,4075,7,1402
9247,486,0,0,534,97,2
0,0,0,0,0,0,0
16070,2148,25675,5877,5007,292,2556
17051,1655,0,0,0,134,0
13419,63,0,0,394,28,0
3267,344,15159,3719,3423,134,0
6573,1043,16665,1977,2951,180,226
18313,2473,10041,1989,2617,438,930
20662,0,0,0,0,0,0
5294,839,13783,372,0,276,497
13811,960,0,0,0,192,0
0,0,0,0,0,0,0
15284,107,78983,8887,27273,14,0
0,0,0,0,0,0,0
3217,629,9454,2023,0,89,1637
11878,0,32903,4900,18504,0,5884
19304,1442,24546,0,9909,208,1699
11084,146,23066,3503,0,21,0
0,0,0,0,0,0,0
140,7,255,9,104,0,25
11133,751,37885,222,20317,28,3073
12813,781,15469,0,10735,164,3223
9202,1199,5795,1161,668,202,0
17866,2132,36230,2111,7405,0,2003
0,0,0,0,0,0,0
0,0,0,0,0,0,0
22439,1982,50814,6154,4874,301,746
8224,935,38428,2207,2212,153,476
6841,311,25164,3188,5695,50,4254
0,0,0,0,0,0,0
11540,1256,82485,1807,0,29,339
3888,436,20006,785,3183,59,995
15400,591,33749,3613,0,34,9
3018,0,2524,63,442,0,48
0,0,0,0,0,0,0
13100,2148,88854,3718,27423,407,3642
9164,710,21602,1264,0,116,1148
8790,972,46055,2087,16475,148,2632
1445,153,5320,193,4086,0,0
24828,7790,100592,31632,24773,384,0
0,0,0,0,0,0,0
2229,314,3174,0,2457,29,604
1207,67,0,26,0,8,0
20847,2910,0,0,0,0,404
7023,0,49924,2256,25775,0,4263
7067,1298,24104,0,0,0,0
7229,0,1765,350,625,0,27
0,0,0,0,0,0,0
0,0,0,0,0,0,0
10597,837,0,0,2719,208,450
0,0,0,0,0,0,0
3139,324,5297,1554,816,3,760
6877,396,0,0,0,99,0
10575,2183,6655,756,73,108,594
6270,691,0,0,0,50,488
5324,534,0,0,0,71,0
15429,949,74195,4811,38374,88,11775
21840,2019,56997,6656,36466,159,507
20290,0,136066,0,78938,0,2706
7969,1005,24886,3272,6233,125,723
0,0,0,0,0,0,0
487,9,2752,447,341,0,335
0,0,0,0,0,0,0
141,12,334,3,95,0,28
8008,858,3427,159,971,166,500
10068,0,19273,1266,6012,0,1032
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5984,27,10476,2629,4835,1,3620
182,4,295,19,82,0,12
18385,2286,102420,9042,0,152,6495
2479,0,1913,354,0,0,100
19529,1367,3390,181,1041,308,1047
10220,121,58494,4444,22008,0,6358
7289,275,0,0,0,28,43
8230,1160,73838,3522,18791,202,2374
0,0,0,0,0,0,0
11320,1141,48383,122,15670,31,0
14713,1586,44179,5889,0,290,779
3524,309,22265,0,4854,27,97
4636,25,21217,958,0,4,0
11967,1332,38566,2453,0,0,521
8590,0,73405,4354,14182,0,2806
2495,75,0,271,0,9,51
19359,2717,123587,9539,0,630,0
3037,196,0,62,1,0,35
8153,476,29253,0,5526,52,0
5160,987,0,0,0,288,0
17358,2659,54492,7831,16156,530,1807
12645,2932,93275,17869,26508,921,0
2304,557,0,0,0,0,0
751,75,150,5,91,21,44
1841,216,4323,938,1882,47,477
4576,396,27654,2217,4617,36,416
13781,897,58142,7934,28542,175,7398
7071,1876,17755,204,4437,118,292
5543,175,0,278,0,19,5
14950,758,41315,0,18384,0,900
11384,726,0,0,0,99,536
9720,1152,31088,0,3724,287,810
0,0,0,0,0,0,0
14028,1512,48386,3638,22726,102,2699
0,0,0,0,0,0,0
1353,21,9586,0,4227,3,747
10036,73,20338,3091,8612,6,1518
5233,134,26292,760,3810,67,0
0,0,0,0,0,0,0
8916,233,40729,7950,15682,0,10054
12922,0,8396,885,601,9,0
728,160,478,37,153,0,135
16916,2020,31933,5830,15192,619,8206
828,100,2716,204,0,17,1
273,33,0,0,2,10,0
744,13,5003,135,1045,0,154
22945,1392,68656,0,0,0,0
8703,222,34422,5081,21592,1,6829
0,0,0,0,0,0,0
14411,441,113160,11948,16212,0,5899
2182,0,3880,177,425,0,0
154,29,1425,161,648,5,182
2551,58,16091,2288,0,3,112
0,0,0,0,0,0,0
5290,249,27231,4655,7434,23,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
18001,297,82423,15397,0,15,6763
1817,176,5813,653,1338,0,527
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6698,189,38819,2858,5434,0,2502
10734,134,5892,719,1125,3,0
9404,1018,87909,0,10312,0,0
19251,2218,55724,8005,0,311,7465
16998,2671,36605,5363,21925,389,0
2443,0,0,0,0,0,0
15525,2415,41739,5996,10105,0,0
1662,218,6580,0,0,12,0
5901,543,392,0,88,81,522
4545,764,25783,1010,8695,153,307
3128,543,22436,3505,0,50,87
261,51,483,0,248,6,31
2747,2,22067,0,0,1,0
9240,595,32365,5064,15311,55,0
12026,4318,7736,278,5369,265,0
10774,0,0,0,0,0,0
0,0,0,0,0,0,0
4433,0,1980,50,672,0,2
3751,298,24103,3473,5081,65,1263
18949,1023,41784,654,21562,296,5418
3007,187,11491,1449,0,16,682
5074,0,0,0,0,0,0
6931,762,15,1,0,1,613
16772,2152,83745,10206,24906,493,6040
3094,449,16136,0,4943,42,0
0,0,0,0,0,0,0
10645,321,24619,1554,9084,121,1053
0,0,0,0,0,0,0
6676,754,32062,130,0,48,0
0,0,0,0,0,0,0
19678,3060,43998,1953,13184,358,3481
11110,711,4539,0,2163,182,55
19319,0,150710,14393,0,0,929
4020,484,9413,531,4427,35,244
7074,19,50268,0,36972,0,6010
6415,0,708,84,334,0,52
2074,590,4954,499,1283,91,0
10074,828,47548,1207,7815,122,177
7413,1308,6736,1264,0,99,498
2922,122,6543,391,4171,57,1268
6931,331,51745,11217,31805,54,12578
0,0,0,0,0,0,0
7904,0,35578,1218,17596,0,3247
8349,0,23828,986,9774,0,1415
13341,0,55009,2575,18496,0,2834
0,0,0,0,0,0,0
427,0,0,0,1,0,0
3706,617,1489,194,782,126,417
19590,3009,101763,13451,52456,310,12536
966,168,1170,110,119,56,105
21968,5466,6832,176,232,827,0
13943,1810,71134,18568,39064,152,1972
5548,986,6696,1693,276,0,103
17727,1014,104838,20390,932,0,8999
11483,391,71322,7158,41257,0,8649
7729,308,3564,369,1336,29,143
8310,923,50467,5108,17676,0,10345
0,0,0,0,0,0,0
6641,654,20529,1455,10127,58,2947
3647,346,0,0,0,94,127
0,0,0,0,0,0,0
13213,0,0,0,2915,0,0
8500,224,51887,9333,33,65,2693
0,0,0,0,0,0,0
14808,0,2536,0,632,0,0
571,0,3442,705,1093,0,208
703,18,2159,0,978,4,190
10800,226,48732,0,39200,25,18
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11264,0,13947,0,1064,0,0
2014,249,5361,162,0,24,0
10864,0,45047,2579,19982,8,1631
8073,922,24230,2672,8067,203,0
26299,2403,0,0,0,148,0
2758,0,2931,29,1008,0,31
4268,607,22209,4184,2154,86,0
773,23,2081,412,751,2,367
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7021,82,51894,6036,0,0,341
5257,511,28600,786,19447,56,1659
0,0,0,0,0,0,0
1584,257,148,40,0,53,58
2137,335,0,0,0,49,0
0,0,0,0,0,0,0
10044,1457,38841,1011,0,358,0
13354,0,32000,4536,0,0,825
427,7,1174,185,0,0,106
18103,842,38371,1194,24419,324,2585
8821,1067,30427,0,14997,40,1035
2200,176,3634,397,696,22,292
5881,722,24759,3142,11095,137,0
17123,2366,19460,4285,2721,219,1144
5238,1182,996,128,460,77,1383
14104,933,11824,1378,5382,0,2580
8330,760,58841,5725,17522,0,7435
3262,215,10380,393,2418,28,777
6860,478,74182,9905,0,8,0
13888,0,4202,652,128,0,0
6137,438,43784,5917,16337,0,4862
15273,1561,104350,0,24294,83,0
0,0,0,0,0,0,0
3334,871,0,0,0,0,65
8658,701,28327,6078,23711,131,6052
16960,0,49891,5660,26788,0,3973
0,0,0,0,0,0,0
20685,3229,77915,13493,0,353,5271
14607,328,0,0,0,61,0
6189,1176,29326,1475,11850,330,2879
11350,1349,32369,3387,11259,112,3187
0,0,0,0,0,0,0
9974,2408,22160,3557,1289,229,1842
7058,1099,61477,6555,8418,0,1570
0,0,0,0,0,0,0
17662,0,39528,1789,4515,0,0
9977,941,3407,232,1088,203,0
0,0,0,0,0,0,0
4250,153,24334,1305,13629,18,1689
9730,1280,35146,6844,20611,22,3756
7529,0,30644,1337,20516,0,3422
554,85,3784,152,2353,4,0
11656,0,50463,4543,6975,278,3462
18098,3472,47688,2506,25155,0,4931
8842,0,23470,4631,4711,0,3350
0,0,0,0,0,0,0
7982,0,0,0,0,0,0
0,0,0,0,0,0,0
13952,997,103534,6269,9261,228,0
0,0,0,0,0,0,0
15720,1268,113008,8240,15615,207,858
5986,7,1276,15,515,1,83
0,0,0,0,0,0,0
17211,3876,59828,5932,15014,0,3955
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4923,313,0,0,0,66,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
198,20,1150,134,281,0,0
12549,2222,0,0,0,0,101
8160,161,43187,4265,19162,6,7721
15473,2762,0,0,0,546,1658
12380,2013,90879,20049,0,233,5505
92,1,287,14,156,0,66
11063,1709,9244,952,0,213,475
0,0,0,0,0,0,0
7053,974,23398,3148,0,5,1389
11883,1056,75463,8430,39724,251,7561
5056,787,22841,1780,8170,0,3050
0,0,0,0,0,0,0
2351,58,0,0,0,17,58
2148,136,0,0,0,24,0
0,0,0,0,0,0,0
16219,0,56408,2465,23635,0,0
5334,693,13680,1386,3344,56,1458
0,0,0,0,0,0,0
3650,160,17752,1315,5797,47,100
18115,1696,93824,12556,63005,60,17514
8572,1869,0,0,0,248,633
6362,411,42641,1746,0,62,0
17525,126,14030,165,4408,9,57
4931,103,43840,5040,11271,27,3814
392,14,1663,216,795,0,135
14979,558,94773,19359,47036,13,2002
7446,0,54364,7783,13712,0,5633
5081,487,0,0,0,78,0
1117,136,4297,0,0,9,0
8502,325,0,0,0,0,0
8811,17,12419,1334,9723,2,0
6979,702,15253,2096,0,97,1224
7781,0,9703,1344,4792,0,325
10587,1831,72648,18507,24934,473,18156
9491,588,0,0,0,95,0
6436,0,19045,2435,11064,28,2246
14208,191,19127,2450,167,59,0
2096,0,5023,349,878,0,99
8767,973,43791,0,3311,95,172
4024,220,0,0,0,13,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11956,1677,27200,2291,8410,212,0
17819,1198,94797,10249,66901,33,24280
4819,1070,7909,585,2042,212,201
11879,819,18620,913,8481,202,0
6981,387,19727,3053,743,128,2297
0,0,0,0,0,0,0
9048,1248,53121,7257,16500,204,10270
12117,1680,0,0,27,0,834
9532,1343,61088,0,50943,108,1684
20903,722,0,0,0,79,0
404,59,2207,204,1001,4,156
0,0,0,0,0,0,0
1965,84,4234,865,1618,17,578
1433,0,3837,549,1129,1,83
1104,186,3537,0,447,37,0
0,0,0,0,0,0,0
7215,951,6050,322,716,52,803
17925,2080,163197,19604,81999,71,19684
0,0,0,0,0,0,0
8895,909,27097,7934,0,325,2547
7710,0,52548,0,4801,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3267,451,7116,1168,0,102,669
3484,359,12422,1327,2333,54,2022
10658,2076,23162,0,5393,301,821
21413,0,120126,17176,17724,0,0
13164,3606,14818,860,73,1251,1596
19192,2689,9459,216,5621,195,1226
6795,1418,40585,2386,0,30,0
11559,3410,21975,5304,1969,202,2761
3804,466,10242,1288,6723,26,2221
14019,1755,0,0,0,0,165
0,0,0,0,0,0,0
16936,1340,23363,1900,9533,257,1469
13892,0,0,0,0,0,0
14143,1276,101465,28701,0,156,0
0,0,0,0,0,0,0
12469,885,1604,0,564,187,0
13246,2338,59279,10470,14333,466,9931
6075,32,6562,1072,605,1,296
0,0,0,0,0,0,0
15019,3367,67,0,18,206,957
0,0,0,0,0,0,0
4765,197,23270,2478,5655,49,696
14247,0,0,0,2113,0,0
0,0,0,0,0,0,0
15256,2260,0,0,1075,350,1799
11797,210,75361,9703,0,44,6493
1927,254,642,53,234,17,72
10700,815,17212,539,8931,85,680
19968,2308,214579,24805,74259,507,12950
8616,1645,0,0,0,150,0
8681,693,13275,0,14165,240,2468
18688,945,135107,19357,4319,26,7187
11482,1321,46592,6546,18146,495,5645
13489,384,33550,0,15193,5,0
16375,1525,56376,7355,8578,0,5240
31415,3413,67766,10276,19825,681,0
18758,512,79476,4762,6531,117,3710
0,0,0,0,0,0,0
11488,52,0,0,0,10,0
9289,113,40431,5248,13157,31,2
352,29,1946,519,48,5,213
0,0,0,0,0,0,0
5081,253,23427,863,935,0,299
5859,1196,15373,1875,2479,57,487
7842,269,22214,0,2225,0,87
14426,1605,52457,9969,23069,102,7667
19026,278,122279,21743,25111,103,10199
4988,1,20977,1241,7979,0,0
16041,0,44832,7415,5578,0,1144
0,0,0,0,0,0,0
14287,1712,58716,8475,983,277,0
13386,0,138451,2553,104713,0,15861
7846,0,26640,2682,0,0,560
13320,2116,6113,0,1733,273,1401
7778,0,4785,1487,489,0,257
2254,86,21347,1776,2236,10,280
3608,0,11693,3435,5893,0,3263
5639,1562,0,0,0,97,346
10898,0,16395,70,0,0,0
5832,1103,29160,5817,18020,184,8726
13648,1146,7968,0,693,0,245
15609,2120,55156,0,0,234,0
18882,3742,121982,15455,7223,0,2214
10195,1062,0,2501,2589,198,606
9283,210,52493,3063,18204,18,3878
7560,268,30004,2100,7018,0,1708
19097,2404,18871,2944,5852,246,842
8759,312,0,0,0,36,0
14969,1654,0,3255,0,229,340
1646,0,3331,207,54,0,19
780,136,249,43,0,32,169
776,0,151,15,40,0,9
2712,442,11488,403,2117,0,460
16465,3836,49009,518,15904,0,4326
21195,963,82168,0,23906,115,1752
6339,701,55166,3323,30276,0,3598
7637,0,28472,6950,2548,0,4983
