
hepatotoxic : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
sex : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
PBC : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
age : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
fibrosis : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
diabetes : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
obesity : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
Steatosis : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
Cirrhosis : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
Hyperbilirubinemia : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
triglycerides : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
RHepatitis : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
fatigue : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
bilirubin : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
itching : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
upper_pain : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
fat : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
pain_ruq : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
pressure_ruq : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
phosphatase : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
skin : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ama : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
le_cells : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
joints : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
pain : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
proteins : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
edema : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
platelet : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
