
AppOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
DeskPrntSpd : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, Timing, notMiscellaneous
CmpltPgPrntd : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
PgOrnttnOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
PrntngArOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
NnPSGrphc : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
GrphcsRltdDrvrSttngs : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
EPSGrphc : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PSGRAPHIC : notPrinting, notNetwork, Graphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem4 : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtPScript : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
TTOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
FntInstlltn : notPrinting, notNetwork, notGraphics, Fonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrntrAccptsTrtyp : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
NnTTOK : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, Configuration, notTiming, notMiscellaneous
ScrnFntNtPrntrFnt : notPrinting, notNetwork, notGraphics, Fonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
TrTypFnts : notPrinting, notNetwork, notGraphics, Fonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem5 : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
LclGrbld : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, Miscellaneous
NtGrbld : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
GrbldOtpt : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
HrglssDrtnAftrPrnt : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
REPEAT : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
AvlblVrtlMmry : notPrinting, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PSERRMEM : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
TstpsTxt : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
GrbldPS : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
IncmpltPS : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtFile : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtIcon : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem6 : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem3 : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
NtSpd : notPrinting, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtQueue : Printing, notNetwork, notGraphics, notFonts, notError, notStatus, notConfiguration, notTiming, notMiscellaneous
Problem2 : notPrinting, notNetwork, notGraphics, notFonts, Error, notStatus, notConfiguration, notTiming, notMiscellaneous
PrtStatPaper : Printing, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PrtStatToner : Printing, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PrtStatMem : Printing, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
PrtStatOff : Printing, notNetwork, notGraphics, notFonts, notError, Status, notConfiguration, notTiming, notMiscellaneous
